funcao,tamanho_entrada,threads,tempo
trigonometric_id,10000,1,6.479777
trigonometric_id,10000,1,6.548268
trigonometric_id,10000,2,3.563268
trigonometric_id,10000,2,3.769687
trigonometric_id,10000,2,3.68431
trigonometric_id,10000,2,3.69624
trigonometric_id,10000,2,3.932702
trigonometric_id,10000,3,2.714691
trigonometric_id,10000,3,2.810435
trigonometric_id,10000,3,2.812358
trigonometric_id,10000,3,2.797948
trigonometric_id,10000,3,2.770516
trigonometric_id,10000,4,2.41438
trigonometric_id,10000,4,2.360194
trigonometric_id,10000,4,2.499951
trigonometric_id,10000,4,2.332034
trigonometric_id,10000,4,2.567261
trigonometric_id,10000,5,2.352579
trigonometric_id,10000,5,2.332701
trigonometric_id,10000,5,2.315661
trigonometric_id,10000,5,2.314725
trigonometric_id,10000,5,2.365177
trigonometric_id,10000,6,2.251749
trigonometric_id,10000,6,2.26728
trigonometric_id,10000,6,2.247017
trigonometric_id,10000,6,2.235897
trigonometric_id,10000,6,2.310621
trigonometric_id,10000,7,2.10303
trigonometric_id,10000,7,2.205822
trigonometric_id,10000,7,2.15498
trigonometric_id,10000,7,2.135375
trigonometric_id,10000,7,2.269923
trigonometric_id,10000,8,2.07973
trigonometric_id,10000,8,2.145289
trigonometric_id,10000,8,2.161509
trigonometric_id,10000,8,2.083154
trigonometric_id,10000,8,2.154038
trigonometric_id,100000,1,657.37432
trigonometric_id,100000,1,654.917022
trigonometric_id,100000,1,647.659689
trigonometric_id,100000,1,650.640946
trigonometric_id,100000,1,651.936321
trigonometric_id,100000,2,373.357821
trigonometric_id,100000,2,377.741595
trigonometric_id,100000,2,388.847462
trigonometric_id,100000,2,383.186803
trigonometric_id,100000,2,379.427322
trigonometric_id,100000,3,292.049049
trigonometric_id,100000,3,294.17204
trigonometric_id,100000,3,285.325089
trigonometric_id,100000,3,284.887521
trigonometric_id,100000,3,283.910565
trigonometric_id,100000,4,244.180415
trigonometric_id,100000,4,245.491938
trigonometric_id,100000,4,246.451394
trigonometric_id,100000,4,256.211423
trigonometric_id,100000,4,255.426235
trigonometric_id,100000,5,241.800351
trigonometric_id,100000,5,243.599468
trigonometric_id,100000,5,238.46468
trigonometric_id,100000,5,242.754624
trigonometric_id,100000,5,234.371947
trigonometric_id,100000,6,230.960944
trigonometric_id,100000,6,231.990904
trigonometric_id,100000,6,221.616145
trigonometric_id,100000,6,228.69071
trigonometric_id,100000,6,223.308785
trigonometric_id,100000,7,221.397914
trigonometric_id,100000,7,217.289502
trigonometric_id,100000,7,218.012139
trigonometric_id,100000,7,218.938646
trigonometric_id,100000,7,214.008182
trigonometric_id,100000,8,229.144377
trigonometric_id,100000,8,224.646043
trigonometric_id,100000,8,225.795999
trigonometric_id,100000,8,222.634898
trigonometric_id,100000,8,222.518955
